game_id,settled_in,season,date_time,date_time_GMT,outcome,home_rink_side_start,venue,venue_time_zone_id,venue_time_zone_offset,venue_time_zone_tz,home_team_id,home_won,home_head_coach,home_goals,home_shots,home_hits,home_pim,home_powerPlayOpportunities,home_powerPlayGoals,home_faceOffWinPercentage,home_giveaways,home_takeaways,away_team_id,away_won,away_head_coach,away_goals,away_shots,away_hits,away_pim,away_powerPlayOpportunities,away_powerPlayGoals,away_faceOffWinPercentage,away_giveaways,away_takeaways,type,venue_link
2010020003,REG,20102011,10/7/2010,20101007T160000+0000,away win REG,right,Hartwall Areena,America/Chicago,-5,CDT,30,0,Alain Vigneaul,3,40,28,17,0,0,42.4,17,8,12,1,Dave Hakstol,4,37,20,15,1,0,57.6,13,3,R,/api/v1/venues/null
2010020002,REG,20102011,10/7/2010,20101007T230000+0000,away win REG,left,CONSOL Energy Center,America/New_York,-4,EDT,5,0,Mike Sullivan,2,34,24,6,3,0,52.6,13,8,4,1,Jeremy Colliton,3,31,28,6,3,1,47.4,11,4,R,/api/v1/venues/null
2010020001,REG,20102011,10/7/2010,20101007T230000+0000,home win REG,right,Air Canada Centre,America/Toronto,-4,EDT,10,0,Claude Julien,3,37,38,6,3,0,52.4,18,7,8,1,Mike Sullivan,2,25,25,6,3,1,47.6,15,7,R,/api/v1/venues/null
2010020010,REG,20102011,10/8/2010,20101008T233000+0000,away win REG,left,Scotiabank Place,America/New_York,-4,EDT,9,0,Travis Green,1,31,23,4,2,0,44.1,11,4,7,1,Mike Yeo,2,34,17,4,2,0,55.9,2,5,R,/api/v1/venues/null
2010020006,REG,20102011,10/8/2010,20101008T190000+0000,away win REG,left,Ericsson Globe,America/New_York,-4,EDT,29,1,Jeff Blashill,2,23,28,6,1,0,44.8,12,6,28,0,Mike Sullivan,3,38,25,2,3,1,55.2,12,2,R,/api/v1/venues/null
2010020011,REG,20102011,10/8/2010,20101008T233000+0000,home win REG,NA,Philips Arena,America/New_York,-4,EDT,11,0,Bob Boughner,4,34,17,19,4,0,57.8,8,11,15,1,Barry Trotz,2,46,21,15,6,2,42.2,1,2,R,/api/v1/venues/null
2010020009,SO,20102011,10/8/2010,20101008T233000+0000,home win REG,right,Joe Louis Arena,America/Detroit,-4,EDT,17,1,Jon Cooper,4,42,21,8,4,0,49.2,7,7,24,0,Mike Babcock,0,30,24,8,4,1,50.8,10,8,R,/api/v1/venues/null
2010020007,REG,20102011,10/8/2010,20101008T230000+0000,away win OT,left,Prudential Center,America/New_York,-4,EDT,1,1,Joel Quennevil,3,39,13,2,5,2,61.4,6,9,25,0,Bruce Cassidy,4,32,17,10,1,0,38.6,3,2,R,/api/v1/venues/null
2010020004,SO,20102011,10/8/2010,20101008T020000+0000,home win OT,right,Pepsi Center,America/Denver,-6,MDT,21,1,Barry Trotz,4,26,27,10,2,0,48.4,11,2,16,0,Mike Sullivan,3,31,27,6,4,2,51.6,14,2,R,/api/v1/venues/null
2010020008,REG,20102011,10/8/2010,20101008T160000+0000,home win SO,right,Hartwall Areena,America/New_York,-4,EDT,12,1,Jon Cooper,2,35,20,10,6,1,52.5,5,11,30,0,Todd McLellan,1,35,27,24,4,1,47.5,6,5,R,/api/v1/venues/null
2010020005,REG,20102011,10/8/2010,20101008T020000+0000,home win REG,left,Rexall Place,America/Edmonton,-6,MDT,22,0,Rick Tocchet,4,30,22,6,6,1,39.7,7,4,20,1,Gerard Gallant,0,37,28,12,3,0,60.3,14,6,R,/api/v1/venues/null
2010020015,REG,20102011,10/9/2010,20101009T230000+0000,away win SO,left,Nassau Coliseum,America/New_York,-4,EDT,2,0,Guy Boucher,4,25,46,10,1,0,51.7,8,5,25,1,Bruce Cassidy,5,34,29,4,4,3,48.3,7,2,R,/api/v1/venues/null
2010020013,REG,20102011,10/9/2010,20101009T230000+0000,away win REG,left,HSBC Arena,America/New_York,-4,EDT,7,0,Jon Cooper,3,29,28,8,3,1,58.2,11,7,3,1,Gerard Gallant,6,30,18,10,2,0,41.8,5,5,R,/api/v1/venues/null
2010020018,REG,20102011,10/9/2010,20101009T233000+0000,home win REG,left,St. Pete Times Forum,America/New_York,-4,EDT,14,1,Jon Cooper,5,45,17,6,4,0,60,9,6,11,0,Alain Vigneault,3,30,22,8,3,0,40,7,4,R,/api/v1/venues/null
2010020022,REG,20102011,10/9/2010,20101009T190000+0000,away win OT,left,Ericsson Globe,America/Los_Angeles,-7,PDT,28,1,Paul Maurice,2,28,20,10,1,0,61.3,17,4,29,0,John Hynes,3,36,23,6,3,0,38.7,9,7,R,/api/v1/venues/null
2010020012,REG,20102011,10/9/2010,20101009T160000+0000,away win REG,left,O2 Czech Republic,America/New_York,-4,EDT,6,0,Claude Julien,2,49,31,2,3,0,50,14,9,27,1,Rod Brind'Amour,5,22,30,6,1,0,50,10,10,R,/api/v1/venues/null
2010020016,REG,20102011,10/9/2010,20101009T230000+0000,away win REG,left,CONSOL Energy Center,America/New_York,-4,EDT,5,0,Bruce Boudreau,2,35,10,21,4,0,53,10,6,8,1,Bill Peters,3,26,13,23,3,0,47,6,5,R,/api/v1/venues/null
2010020014,REG,20102011,10/9/2010,20101009T230000+0000,home win REG,right,Air Canada Centre,America/Toronto,-4,EDT,10,1,Bob Boughner,5,29,26,2,3,0,45.3,20,11,9,0,Mike Babcock,1,21,21,6,1,0,54.7,11,13,R,/api/v1/venues/null
2010020017,REG,20102011,10/9/2010,20101009T230000+0000,home win REG,right,Verizon Center,America/New_York,-4,EDT,15,0,Randy Carlyle,7,13,32,0,1,0,50.9,16,5,1,1,Craig Berube,2,32,25,2,0,0,49.1,13,9,R,/api/v1/venues/null
2010020019,REG,20102011,10/10/2010,20101010T000000+0000,home win OT,left,Scottrade Center,America/Chicago,-5,CDT,19,1,Doug Weight,2,33,25,10,3,0,52.5,11,6,4,0,Phil Housley,1,29,23,8,4,0,47.5,11,6,R,/api/v1/venues/null
2010020024,OT,20102011,10/10/2010,20101010T140000+0000,away win REG,NA,O2 Czech Republic,America/Phoenix,-7,MST,27,0,Bill Peters,0,38,20,6,3,0,60.6,9,10,6,1,John Tortorella,3,27,32,6,3,0,39.4,2,16,R,/api/v1/venues/null
2010020021,SO,20102011,10/10/2010,20101010T003000+0000,away win REG,right,United Center,America/Chicago,-5,CDT,16,0,Bob Boughner,2,46,12,11,6,1,54.9,27,6,17,1,Jeff Blashill,3,38,18,17,3,0,45.1,13,10,R,/api/v1/venues/null
2010020023,REG,20102011,10/10/2010,20101010T020000+0000,away win SO,right,Rogers Arena,America/Vancouver,-7,PDT,23,0,Mike Sullivan,1,31,46,6,5,0,43.8,15,6,26,1,Mike Babcock,2,33,25,10,3,1,56.2,5,6,R,/api/v1/venues/null
2010020020,REG,20102011,10/10/2010,20101010T000000+0000,home win REG,left,Bridgestone Arena,America/Chicago,-5,CDT,18,0,Bruce Boudreau,4,37,20,8,4,0,42.3,4,8,24,1,Randy Carlyle,1,23,18,8,4,0,57.7,3,3,R,/api/v1/venues/null
2010020026,REG,20102011,10/11/2010,20101011T000000+0000,home win REG,left,Rexall Place,America/Edmonton,-6,MDT,22,0,Bill Peters,3,47,33,4,2,0,54.7,23,20,13,1,Mike Babcock,2,25,27,4,2,1,45.3,6,12,R,/api/v1/venues/null
2010020032,OT,20102011,10/11/2010,20101011T230000+0000,home win OT,right,Verizon Center,America/New_York,-4,EDT,15,0,Todd McLellan,3,32,30,2,3,0,51,12,11,9,1,Jared Bednar,2,31,26,6,1,1,49,11,6,R,/api/v1/venues/null
2010020031,REG,20102011,10/11/2010,20101011T230000+0000,home win REG,right,Wells Fargo Center,America/New_York,-4,EDT,4,0,Bill Peters,4,35,24,4,3,0,41.9,16,12,21,1,Paul Maurice,2,23,31,6,2,1,58.1,5,8,R,/api/v1/venues/null
2010020028,REG,20102011,10/11/2010,20101011T170000+0000,home win REG,left,Nassau Coliseum,America/New_York,-4,EDT,2,1,Glen Gulutzan,6,31,19,6,5,1,54.8,14,16,3,0,Gerard Gallant,4,27,16,10,3,0,45.2,13,11,R,/api/v1/venues/null
2010020029,REG,20102011,10/11/2010,20101011T180000+0000,home win REG,left,Scottrade Center,America/Chicago,-5,CDT,19,0,Dave Hakstol,5,26,37,8,4,0,55.1,11,3,24,1,Mike Sullivan,1,30,26,8,4,1,44.9,9,5,R,/api/v1/venues/null
2010020030,REG,20102011,10/11/2010,20101011T230000+0000,away win REG,left,HSBC Arena,America/New_York,-4,EDT,7,1,Jim Montgomery,3,41,13,17,3,0,56.1,15,8,16,0,Randy Carlyle,4,25,27,17,3,0,43.9,7,4,R,/api/v1/venues/null
2010020027,REG,20102011,10/11/2010,20101011T200000+0000,away win REG,left,Prudential Center,America/New_York,-4,EDT,1,1,Jeremy Collito,1,28,16,6,3,1,44.8,6,10,5,0,Bruce Boudreau,3,40,16,6,3,1,55.2,7,12,R,/api/v1/venues/null
2010020025,REG,20102011,10/11/2010,20101011T000000+0000,home win REG,right,Scotiabank Saddledom,America/Denver,-6,MDT,20,0,Guy Boucher,3,31,18,4,4,1,53.7,14,3,26,1,Rod Brind'Amour,1,29,27,8,2,2,46.3,7,3,R,/api/v1/venues/null
2010020034,REG,20102011,10/12/2010,20101012T233000+0000,away win SO,right,Joe Louis Arena,America/Detroit,-4,EDT,17,0,John Tortorell,4,34,17,6,3,0,45,5,3,21,1,Mike Yeo,5,28,7,6,2,0,55,4,0,R,/api/v1/venues/null
2010020033,REG,20102011,10/12/2010,20101012T020000+0000,home win REG,right,Rogers Arena,America/Vancouver,-7,PDT,23,1,Paul Maurice,2,30,23,6,3,1,50,10,9,13,0,Jim Montgomery,1,27,18,6,3,1,50,10,2,R,/api/v1/venues/null
2010020037,REG,20102011,10/13/2010,20101013T230000+0000,home win REG,right,Verizon Center,America/New_York,-4,EDT,15,1,Joel Quennevil,2,35,26,11,4,1,42.6,13,8,2,0,Dave Hakstol,1,35,26,13,3,0,57.4,11,9,R,/api/v1/venues/null
2010020035,REG,20102011,10/13/2010,20101013T023000+0000,home win REG,right,Staples Center,America/Los_Angeles,-7,PDT,26,0,Mike Babcock,3,31,26,0,3,0,63.5,20,7,11,1,Jared Bednar,1,27,26,6,0,0,36.5,11,5,R,/api/v1/venues/null
2010020039,SO,20102011,10/13/2010,20101013T233000+0000,away win REG,left,CONSOL Energy Center,America/New_York,-4,EDT,5,0,Bill Peters,3,37,19,8,1,0,52.2,10,21,10,1,Jon Cooper,4,36,13,2,4,0,47.8,10,13,R,/api/v1/venues/null
2010020036,REG,20102011,10/13/2010,20101013T230000+0000,away win OT,left,HSBC Arena,America/New_York,-4,EDT,7,1,Peter DeBoer,0,39,16,10,3,0,49,10,15,1,0,Randy Carlyle,1,27,12,8,4,1,51,15,15,R,/api/v1/venues/null
2010020038,REG,20102011,10/13/2010,20101013T233000+0000,away win OT,right,Centre Bell,America/Montreal,-4,EDT,8,0,Scott Gordon,3,25,29,4,1,0,61,15,5,14,1,Craig Berube,4,37,21,2,2,0,39,6,6,R,/api/v1/venues/null
2010020043,REG,20102011,10/14/2010,20101014T230000+0000,home win REG,left,Scotiabank Place,America/New_York,-4,EDT,9,1,Peter DeBoer,3,29,23,2,2,1,53.3,9,7,12,0,Mike Yeo,2,30,19,4,1,0,46.7,5,8,R,/api/v1/venues/null
2010020040,REG,20102011,10/14/2010,20101014T003000+0000,away win REG,right,United Center,America/Chicago,-5,CDT,16,0,Gerard Gallant,2,43,44,6,1,0,49.2,9,9,18,1,Rick Tocchet,3,26,32,2,3,1,50.8,5,7,R,/api/v1/venues/null
2010020041,OT,20102011,10/14/2010,20101014T020000+0000,home win REG,left,Honda Center,America/Los_Angeles,-7,PDT,24,0,Jeff Blashill,4,35,24,2,4,1,59.7,17,3,23,1,Jeremy Colliton,3,20,10,8,1,0,40.3,11,10,R,/api/v1/venues/null
2010020042,REG,20102011,10/14/2010,20101014T230000+0000,away win REG,right,Wells Fargo Center,America/New_York,-4,EDT,4,0,Guy Boucher,2,37,21,16,1,0,56,17,13,14,1,Ken Hitchcock,3,26,25,2,3,0,44,15,4,R,/api/v1/venues/null
2010020044,REG,20102011,10/15/2010,20101015T000000+0000,home win REG,left,Bridgestone Arena,America/Chicago,-5,CDT,18,1,Bruce Cassidy,4,28,28,6,1,0,50.8,11,13,19,0,Gerard Gallant,3,29,30,2,3,0,49.2,16,17,R,/api/v1/venues/null
2010020050,REG,20102011,10/15/2010,20101015T230000+0000,home win OT,left,CONSOL Energy Center,America/New_York,-4,EDT,5,1,Bruce Boudreau,3,19,14,13,4,1,52.2,7,3,2,0,Joel Quenneville,2,44,13,13,4,0,47.8,1,4,R,/api/v1/venues/null
2010020047,REG,20102011,10/15/2010,20101015T013000+0000,away win REG,right,Scotiabank Saddledom,America/Denver,-6,MDT,20,0,Paul Maurice,0,31,19,6,3,1,49.2,11,2,13,1,Gerard Gallant,3,28,7,8,2,0,50.8,13,7,R,/api/v1/venues/null
2010020046,REG,20102011,10/15/2010,20101015T003000+0000,home win REG,right,American Airlines Ce,America/Chicago,-5,CDT,25,0,Jon Cooper,4,34,22,8,5,0,50,15,10,17,1,Travis Green,1,28,18,10,4,0,50,9,6,R,/api/v1/venues/null
2010020048,REG,20102011,10/15/2010,20101015T230000+0000,away win REG,left,Prudential Center,America/New_York,-4,EDT,1,1,Bruce Cassidy,2,26,29,4,3,0,58.7,20,4,21,0,Rick Tocchet,3,33,24,6,2,1,41.3,9,10,R,/api/v1/venues/null
2010020051,REG,20102011,10/15/2010,20101015T230000+0000,away win REG,left,Nationwide Arena,America/New_York,-4,EDT,29,0,Randy Carlyle,2,25,25,6,2,0,55.3,16,3,16,1,Mike Sullivan,5,36,26,4,3,1,44.7,17,4,R,/api/v1/venues/null
2010020052,REG,20102011,10/15/2010,20101015T233000+0000,away win REG,left,HSBC Arena,America/New_York,-4,EDT,7,1,Jeremy Collito,1,28,29,10,2,1,53.2,9,11,8,0,Todd Reirden,2,39,35,10,2,0,46.8,10,6,R,/api/v1/venues/null
2010020045,REG,20102011,10/15/2010,20101015T003000+0000,home win REG,right,Xcel Energy Center,America/Chicago,-5,CDT,30,1,Todd Reirden,4,31,20,4,1,0,52.8,15,13,22,0,Travis Green,2,32,23,2,2,0,47.2,10,17,R,/api/v1/venues/null
2010020049,REG,20102011,10/15/2010,20101015T230000+0000,away win OT,right,Madison Square Garde,America/New_York,-4,EDT,3,1,Scott Gordon,3,40,10,10,5,1,56.2,10,7,10,0,Randy Carlyle,4,32,14,12,4,2,43.8,7,4,R,/api/v1/venues/null
2010020056,REG,20102011,10/16/2010,20101016T230000+0000,away win REG,left,Prudential Center,America/New_York,-4,EDT,1,1,Bruce Boudreau,1,33,11,10,3,0,49.2,3,5,6,0,Doug Weight,4,33,10,6,5,0,50.8,2,2,R,/api/v1/venues/null
2010020054,REG,20102011,10/16/2010,20101016T023000+0000,home win REG,right,Staples Center,America/Los_Angeles,-7,PDT,26,0,Phil Housley,4,33,16,6,5,1,51.6,10,10,23,1,Peter DeBoer,1,31,15,10,3,0,48.4,6,1,R,/api/v1/venues/null
2010020055,OT,20102011,10/16/2010,20101016T230000+0000,home win REG,right,Centre Bell,America/Montreal,-4,EDT,8,1,Mike Sullivan,4,45,35,10,5,1,61.2,5,4,9,0,Phil Housley,3,32,28,14,3,2,38.8,9,5,R,/api/v1/venues/null
2010020058,REG,20102011,10/16/2010,20101016T220000+0000,away win REG,right,Wells Fargo Center,America/New_York,-4,EDT,4,1,Peter Laviolet,1,27,19,8,2,0,45.2,8,7,5,0,Gerard Gallant,5,43,17,4,4,0,54.8,4,3,R,/api/v1/venues/null
2010020053,OT,20102011,10/16/2010,20101016T020000+0000,away win SO,left,Honda Center,America/Los_Angeles,-7,PDT,24,1,Todd Reirden,4,38,23,8,4,2,53,6,12,11,0,David Quinn,5,32,14,8,4,2,47,7,14,R,/api/v1/venues/null
2010020057,REG,20102011,10/16/2010,20101016T230000+0000,home win REG,left,Nassau Coliseum,America/New_York,-4,EDT,2,1,Willie Desjard,5,27,24,8,1,1,42.9,14,4,21,0,Randy Carlyle,2,31,18,2,4,0,57.1,9,2,R,/api/v1/venues/null
2010020059,REG,20102011,10/16/2010,20101016T230000+0000,home win REG,right,BankAtlantic Center,America/New_York,-4,EDT,13,1,Paul Maurice,6,35,17,16,6,3,55.2,13,11,14,0,Dave Hakstol,0,37,18,23,2,0,44.8,7,6,R,/api/v1/venues/null
2010020066,REG,20102011,10/17/2010,20101017T023000+0000,away win REG,left,HP Pavilion at San J,America/Los_Angeles,-7,PDT,28,0,Travis Green,2,32,18,4,5,1,54.7,8,4,11,1,Paul Maurice,4,20,19,10,2,0,45.3,4,4,R,/api/v1/venues/null
2010020063,REG,20102011,10/17/2010,20101017T003000+0000,home win REG,right,United Center,America/Chicago,-5,CDT,16,0,Glen Gulutzan,4,34,14,6,6,1,59.5,15,7,7,1,Todd McLellan,3,33,9,12,2,0,40.5,9,8,R,/api/v1/venues/null
2010020062,OT,20102011,10/17/2010,20101017T003000+0000,home win SO,right,American Airlines Ce,America/Chicago,-5,CDT,25,1,Peter DeBoer,3,32,12,13,5,3,51.7,6,11,19,0,Travis Green,2,40,27,15,4,0,48.3,8,4,R,/api/v1/venues/null
2010020064,REG,20102011,10/17/2010,20101017T010000+0000,away win OT,NA,Jobing.com Arena,America/Phoenix,-7,MST,27,0,John Stevens,1,36,34,4,1,0,55.1,12,3,17,1,Peter DeBoer,2,33,17,4,1,0,44.9,11,3,R,/api/v1/venues/null
2010020060,REG,20102011,10/17/2010,20101017T000000+0000,away win OT,left,Bridgestone Arena,America/Chicago,-5,CDT,18,0,John Stevens,2,40,30,8,3,1,61.7,9,5,15,1,Mike Yeo,3,43,13,8,3,0,38.3,7,0,R,/api/v1/venues/null
2010020065,REG,20102011,10/17/2010,20101017T020000+0000,home win REG,right,Scotiabank Saddledom,America/Denver,-6,MDT,20,1,Rod Brind'Amou,5,27,48,8,5,0,53.7,8,18,22,0,Rick Tocchet,3,23,32,12,2,0,46.3,6,15,R,/api/v1/venues/null
2010020061,REG,20102011,10/17/2010,20101017T000000+0000,away win REG,right,Xcel Energy Center,America/Chicago,-5,CDT,30,0,Jared Bednar,2,30,25,4,4,0,52.5,9,9,29,1,John Tortorella,3,37,23,8,2,1,47.5,8,9,R,/api/v1/venues/null
2010020067,SO,20102011,10/18/2010,20101018T000000+0000,home win REG,left,Honda Center,America/Los_Angeles,-7,PDT,24,0,Rick Tocchet,3,39,23,2,2,1,44,9,10,27,1,Alain Vigneault,2,25,25,4,1,0,56,3,1,R,/api/v1/venues/null
2010020070,REG,20102011,10/18/2010,20101018T230000+0000,away win REG,right,Madison Square Garde,America/New_York,-4,EDT,3,1,Mike Yeo,1,41,20,8,3,0,59.3,3,9,21,0,Guy Boucher,3,25,20,6,4,0,40.7,3,5,R,/api/v1/venues/null
2010020068,SO,20102011,10/18/2010,20101018T010000+0000,home win REG,right,Rogers Arena,America/Vancouver,-7,PDT,23,1,Todd McLellan,5,37,23,45,3,0,56.4,12,16,12,0,Glen Gulutzan,1,37,30,23,4,0,43.6,12,6,R,/api/v1/venues/null
2010020071,REG,20102011,10/18/2010,20101018T230000+0000,home win REG,left,CONSOL Energy Center,America/New_York,-4,EDT,5,0,Alain Vigneaul,5,32,13,4,4,2,44.6,12,14,9,1,John Tortorella,2,31,19,8,2,0,55.4,15,9,R,/api/v1/venues/null
2010020072,REG,20102011,10/18/2010,20101018T233000+0000,home win REG,left,St. Pete Times Forum,America/New_York,-4,EDT,14,0,Bruce Cassidy,5,40,21,15,6,1,37.1,11,5,25,1,Jeff Blashill,4,27,22,19,4,1,62.9,6,9,R,/api/v1/venues/null
2010020069,REG,20102011,10/18/2010,20101018T230000+0000,away win OT,right,Air Canada Centre,America/Toronto,-4,EDT,10,1,Paul Maurice,1,26,27,6,4,1,46.4,17,11,2,0,John Tortorella,2,31,18,8,3,1,53.6,9,4,R,/api/v1/venues/null
2010020074,OT,20102011,10/19/2010,20101019T233000+0000,away win REG,right,Verizon Center,America/New_York,-4,EDT,15,1,Dave Hakstol,1,30,27,6,6,2,55.6,12,7,6,0,Ken Hitchcock,3,28,24,14,1,0,44.4,7,8,R,/api/v1/venues/null
2010020073,SO,20102011,10/19/2010,20101019T003000+0000,home win OT,right,United Center,America/Chicago,-5,CDT,16,0,Paul Maurice,3,26,21,6,1,0,59.3,7,11,19,1,Phil Housley,2,32,17,2,3,1,40.7,9,5,R,/api/v1/venues/null
2010020077,REG,20102011,10/20/2010,20101020T023000+0000,away win REG,left,HP Pavilion at San J,America/Los_Angeles,-7,PDT,28,0,Alain Vigneaul,2,31,34,12,3,0,57.1,16,18,12,1,John Hynes,5,19,28,8,5,1,42.9,3,7,R,/api/v1/venues/null
2010020076,REG,20102011,10/20/2010,20101020T010000+0000,home win REG,right,Xcel Energy Center,America/Chicago,-5,CDT,30,0,Barry Trotz,6,42,12,12,4,0,44.2,17,7,23,1,Bob Boughner,2,23,14,8,6,2,55.8,4,11,R,/api/v1/venues/null
2010020079,REG,20102011,10/20/2010,20101020T230000+0000,home win REG,left,Nationwide Arena,America/New_York,-4,EDT,29,0,Jeff Blashill,3,29,26,6,3,0,50,8,1,24,1,Mike Yeo,1,22,24,6,3,0,50,7,1,R,/api/v1/venues/null
2010020075,REG,20102011,10/20/2010,20101020T000000+0000,away win OT,left,Bridgestone Arena,America/Chicago,-5,CDT,18,0,Joel Quennevil,0,45,28,6,4,1,52.1,10,9,20,1,Jared Bednar,1,40,26,8,3,2,47.9,11,8,R,/api/v1/venues/null
2010020078,REG,20102011,10/20/2010,20101020T230000+0000,away win REG,NA,Philips Arena,America/New_York,-4,EDT,11,1,Claude Julien,1,44,32,4,2,0,39,11,7,7,0,Todd Reirden,4,31,25,6,1,0,61,11,13,R,/api/v1/venues/null
2010020081,REG,20102011,10/21/2010,20101021T023000+0000,home win REG,right,Staples Center,America/Los_Angeles,-7,PDT,26,1,Mike Sullivan,4,29,50,20,1,0,61.7,8,3,12,0,Guy Boucher,3,23,36,20,1,0,38.3,6,7,R,/api/v1/venues/null
2010020087,OT,20102011,10/21/2010,20101021T233000+0000,away win OT,left,St. Pete Times Forum,America/New_York,-4,EDT,14,0,Bill Peters,2,38,16,8,3,0,65.4,14,20,2,1,Joel Quenneville,3,30,21,6,4,0,34.6,7,23,R,/api/v1/venues/null
2010020084,REG,20102011,10/21/2010,20101021T230000+0000,away win REG,right,Wells Fargo Center,America/New_York,-4,EDT,4,0,Alain Vigneaul,2,39,28,4,3,1,53.1,17,13,24,1,Doug Weight,3,37,25,6,2,0,46.9,14,6,R,/api/v1/venues/null
2010020086,REG,20102011,10/21/2010,20101021T233000+0000,away win REG,right,Centre Bell,America/Montreal,-4,EDT,8,1,Gerard Gallant,0,34,20,6,2,1,56.1,10,17,1,0,Travis Green,3,33,23,4,3,1,43.9,5,7,R,/api/v1/venues/null
2010020088,REG,20102011,10/21/2010,20101021T233000+0000,away win REG,right,BankAtlantic Center,America/New_York,-4,EDT,13,1,Rick Tocchet,1,24,27,2,2,1,40,5,7,25,0,Travis Green,4,27,34,4,1,0,60,9,1,R,/api/v1/venues/null
2010020083,OT,20102011,10/21/2010,20101021T230000+0000,away win REG,right,Air Canada Centre,America/Toronto,-4,EDT,10,0,Joel Quennevil,1,30,24,6,1,1,50.7,11,12,3,1,Mike Yeo,2,41,43,2,3,2,49.3,8,8,R,/api/v1/venues/null
2010020080,REG,20102011,10/21/2010,20101021T010000+0000,home win SO,right,United Center,America/Chicago,-5,CDT,16,1,Todd McLellan,2,43,24,10,3,0,59,17,13,23,0,Claude Julien,1,29,28,10,3,0,41,5,6,R,/api/v1/venues/null
2010020082,OT,20102011,10/21/2010,20101021T230000+0000,home win REG,left,TD Garden,America/New_York,-4,EDT,6,1,Jim Montgomery,4,29,26,8,3,1,61.4,13,7,15,0,Todd Reirden,1,37,27,8,3,0,38.6,17,6,R,/api/v1/venues/null
2010020085,REG,20102011,10/21/2010,20101021T233000+0000,home win REG,right,Joe Louis Arena,America/Detroit,-4,EDT,17,0,David Quinn,4,33,23,2,4,1,45.6,20,9,20,1,Jon Cooper,2,23,34,8,1,0,54.4,19,6,R,/api/v1/venues/null
2010020089,REG,20102011,10/22/2010,20101022T000000+0000,away win OT,left,Bridgestone Arena,America/Chicago,-5,CDT,18,0,Mike Sullivan,3,18,32,10,3,0,52.2,11,4,5,1,Barry Trotz,4,26,38,8,4,2,47.8,4,8,R,/api/v1/venues/null
2010020092,REG,20102011,10/22/2010,20101022T020000+0000,home win REG,NA,Jobing.com Arena,America/Phoenix,-7,MST,27,1,Gerard Gallant,4,27,18,12,4,1,33.3,13,15,26,0,Paul Maurice,2,29,29,8,6,1,66.7,13,14,R,/api/v1/venues/null
2010020090,REG,20102011,10/22/2010,20101022T010000+0000,away win REG,right,Pepsi Center,America/Denver,-6,MDT,21,0,Travis Green,2,21,25,0,2,0,50.7,11,3,28,1,Gerard Gallant,4,30,17,4,0,0,49.3,9,8,R,/api/v1/venues/null
2010020091,REG,20102011,10/22/2010,20101022T013000+0000,away win REG,left,Rexall Place,America/Edmonton,-6,MDT,22,0,Bob Boughner,2,38,20,2,2,0,46.2,19,8,30,1,Joel Quenneville,4,39,8,4,1,0,53.8,12,3,R,/api/v1/venues/null
2010020095,REG,20102011,10/22/2010,20101022T233000+0000,away win REG,NA,Philips Arena,America/New_York,-4,EDT,11,1,John Stevens,2,35,30,9,2,1,59,11,3,14,0,Rick Tocchet,5,27,28,9,2,0,41,4,1,R,/api/v1/venues/null
2010020093,REG,20102011,10/22/2010,20101022T230000+0000,away win REG,left,Nationwide Arena,America/New_York,-4,EDT,29,1,Guy Boucher,2,42,14,4,4,1,52.1,12,9,20,0,John Hynes,6,39,27,8,2,0,47.9,8,4,R,/api/v1/venues/null
2010020094,REG,20102011,10/22/2010,20101022T233000+0000,away win REG,left,HSBC Arena,America/New_York,-4,EDT,7,0,Jeremy Collito,2,24,17,28,4,1,57.1,14,5,9,1,Bill Peters,4,41,21,15,6,2,42.9,9,7,R,/api/v1/venues/null
2010020100,REG,20102011,10/23/2010,20101023T230000+0000,away win REG,left,Prudential Center,America/New_York,-4,EDT,1,0,Travis Green,1,37,13,2,4,0,42.9,5,3,7,1,John Hynes,6,26,15,8,1,0,57.1,5,5,R,/api/v1/venues/null
2010020102,OT,20102011,10/23/2010,20101023T230000+0000,home win OT,right,Verizon Center,America/New_York,-4,EDT,15,0,Paul Maurice,4,23,25,22,3,3,46.9,20,5,11,1,Claude Julien,3,50,11,6,6,3,53.1,7,6,R,/api/v1/venues/null
2010020099,OT,20102011,10/23/2010,20101023T230000+0000,away win REG,left,Scotiabank Place,America/New_York,-4,EDT,9,1,Mike Babcock,0,25,29,6,2,0,55.1,17,9,8,0,John Hynes,3,42,22,4,3,0,44.9,19,5,R,/api/v1/venues/null
2010020103,REG,20102011,10/23/2010,20101023T230000+0000,home win REG,right,BankAtlantic Center,America/New_York,-4,EDT,13,0,Alain Vigneaul,4,37,13,6,3,0,47.5,11,10,2,1,Bob Boughner,3,27,22,8,2,1,52.5,10,9,R,/api/v1/venues/null
2010020098,OT,20102011,10/23/2010,20101023T230000+0000,away win REG,left,TD Garden,America/New_York,-4,EDT,6,1,Bruce Boudreau,2,25,26,10,3,0,38.9,2,6,3,0,Mike Yeo,3,42,20,6,5,1,61.1,2,0,R,/api/v1/venues/null
2010020101,REG,20102011,10/23/2010,20101023T230000+0000,home win REG,right,Wells Fargo Center,America/New_York,-4,EDT,4,0,Rick Tocchet,5,39,37,4,1,1,49.1,5,7,10,1,John Tortorella,2,27,28,4,1,1,50.9,3,4,R,/api/v1/venues/null
